id,status_group
1193,functional needs repair
1194,non functional
1195,non functional
1196,non functional
1197,functional
1198,non functional
1199,functional
1200,functional needs repair
1201,non functional
1202,non functional
1203,non functional
1204,non functional
1205,functional needs repair
1206,functional needs repair
1207,non functional
1208,non functional
1209,functional needs repair
1210,functional needs repair
1211,non functional
1212,functional needs repair
1213,non functional
1214,functional needs repair
1215,functional
1216,functional needs repair
1217,non functional
1218,non functional
1219,non functional
1220,non functional
1221,non functional
1222,non functional
1223,functional
1224,non functional
1225,functional needs repair
1226,functional needs repair
1227,non functional
1228,non functional
1229,functional
1230,non functional
1231,functional needs repair
1232,functional needs repair
1233,non functional
1234,non functional
1235,functional needs repair
1236,functional needs repair
1237,functional
1238,functional
1239,non functional
1240,non functional
1241,functional
1242,non functional
1243,non functional
1244,functional needs repair
1245,non functional
1246,non functional
1247,functional needs repair
1248,non functional
1249,non functional
1250,non functional
1251,non functional
1252,functional needs repair
1253,non functional
1254,functional
1255,non functional
1256,functional needs repair
1257,functional
1258,functional needs repair
1259,functional needs repair
1260,functional
1261,non functional
1262,functional needs repair
1263,non functional
1264,functional needs repair
1265,non functional
1266,non functional
1267,functional needs repair
1268,functional
1269,non functional
1270,functional
1271,non functional
1272,functional needs repair
1273,functional needs repair
1274,functional needs repair
1275,non functional
1276,functional needs repair
1277,functional
1278,functional
1279,functional needs repair
1280,functional
1281,non functional
1282,non functional
1283,non functional
1284,non functional
1285,non functional
1286,non functional
1287,functional needs repair
1288,functional
1289,non functional
1290,functional needs repair
1291,functional needs repair
1292,non functional
1293,functional needs repair
1294,functional
1295,non functional
1296,functional
1297,non functional
1298,functional needs repair
1299,functional needs repair
1300,non functional
1301,non functional
1302,functional
1303,functional
1304,non functional
1305,non functional
1306,functional needs repair
1307,non functional
1308,non functional
1309,non functional
1310,non functional
1311,non functional
1312,functional
1313,functional needs repair
1314,non functional
1315,functional needs repair
1316,functional
1317,functional needs repair
1318,functional
1319,functional needs repair
1320,functional needs repair
1321,non functional
1322,functional needs repair
1323,functional needs repair
1324,non functional
1325,non functional
1326,functional
1327,non functional
1328,non functional
1329,functional needs repair
1330,functional
1331,non functional
1332,functional needs repair
1333,non functional
1334,functional
1335,functional
1336,non functional
1337,functional
1338,non functional
1339,non functional
1340,non functional
1341,non functional
1342,functional needs repair
1343,functional
1344,functional needs repair
1345,non functional
1346,functional needs repair
1347,non functional
1348,non functional
1349,functional needs repair
1350,functional needs repair
1351,non functional
1352,functional needs repair
1353,functional needs repair
1354,non functional
1355,functional
1356,non functional
1357,non functional
1358,non functional
1359,functional needs repair
1360,non functional
1361,non functional
1362,functional needs repair
1363,non functional
1364,non functional
1365,functional needs repair
1366,non functional
1367,functional needs repair
1368,non functional
1369,non functional
1370,functional
1371,functional needs repair
1372,functional needs repair
1373,non functional
1374,non functional
1375,functional needs repair
1376,functional needs repair
1377,non functional
1378,functional needs repair
1379,non functional
1380,functional needs repair
1381,non functional
1382,functional needs repair
1383,non functional
1384,functional needs repair
1385,functional needs repair
1386,non functional
1387,non functional
1388,functional needs repair
1389,non functional
1390,non functional
1391,non functional
1392,functional needs repair
1393,functional
1394,functional needs repair
1395,functional
1396,functional needs repair
1397,non functional
1398,non functional
1399,functional
1400,functional needs repair
1401,functional
1402,functional needs repair
1403,non functional
1404,functional
1405,non functional
1406,non functional
1407,non functional
1408,functional needs repair
1409,functional needs repair
1410,non functional
1411,functional needs repair
1412,non functional
1413,functional
1414,non functional
1415,functional
1416,functional needs repair
1417,functional needs repair
1418,non functional
1419,non functional
1420,non functional
1421,non functional
1422,functional needs repair
1423,non functional
1424,functional needs repair
1425,functional
1426,non functional
1427,functional
1428,non functional
1429,functional
1430,non functional
1431,non functional
1432,functional needs repair
1433,functional needs repair
1434,non functional
1435,non functional
1436,non functional
1437,non functional
1438,non functional
1439,functional needs repair
1440,non functional
1441,functional needs repair
1442,functional needs repair
1443,non functional
1444,non functional
1445,non functional
1446,non functional
1447,non functional
1448,functional needs repair
1449,functional needs repair
1450,non functional
1451,non functional
1452,functional needs repair
1453,functional
1454,functional needs repair
1455,functional needs repair
1456,functional needs repair
1457,functional needs repair
1458,non functional
1459,functional needs repair
1460,functional needs repair
1461,functional needs repair
1462,functional needs repair
1463,functional
1464,functional needs repair
1465,non functional
1466,functional needs repair
1467,non functional
1468,functional needs repair
1469,functional
1470,functional needs repair
1471,functional
1472,non functional
1473,functional
1474,functional needs repair
1475,functional
1476,non functional
1477,functional needs repair
1478,functional needs repair
1479,functional needs repair
1480,functional needs repair
1481,functional needs repair
1482,non functional
1483,non functional
1484,non functional
1485,non functional
1486,functional
1487,functional
1488,non functional
1489,non functional
1490,functional
1491,functional needs repair
1492,non functional
1493,functional needs repair
1494,non functional
1495,functional
1496,non functional
1497,functional needs repair
1498,functional needs repair
1499,non functional
1500,non functional
1501,non functional
1502,functional
1503,functional needs repair
1504,functional needs repair
1505,functional needs repair
1506,functional needs repair
1507,functional
1508,functional
1509,non functional
1510,functional needs repair
1511,functional
1512,functional
1513,functional needs repair
1514,functional needs repair
1515,functional
1516,functional
1517,functional needs repair
1518,non functional
1519,non functional
1520,non functional
1521,non functional
1522,functional needs repair
1523,functional
1524,functional
1525,functional needs repair
1526,non functional
1527,non functional
1528,non functional
1529,functional needs repair
1530,non functional
1531,non functional
1532,non functional
1533,functional needs repair
1534,non functional
1535,functional needs repair
1536,functional needs repair
1537,functional
1538,non functional
1539,non functional
1540,non functional
1541,functional needs repair
1542,non functional
1543,functional
1544,non functional
1545,non functional
1546,non functional
1547,functional needs repair
1548,functional needs repair
1549,non functional
1550,functional needs repair
1551,functional
1552,functional needs repair
1553,non functional
1554,non functional
1555,functional needs repair
1556,functional needs repair
1557,functional needs repair
1558,functional
1559,functional
1560,non functional
1561,non functional
1562,functional needs repair
1563,functional needs repair
1564,functional needs repair
1565,functional needs repair
1566,functional
1567,non functional
1568,functional needs repair
1569,functional needs repair
1570,functional needs repair
1571,functional needs repair
1572,non functional
1573,non functional
1574,functional
1575,non functional
1576,functional
1577,non functional
1578,functional needs repair
1579,functional
1580,functional needs repair
1581,functional needs repair
1582,functional needs repair
1583,functional needs repair
1584,functional needs repair
1585,functional
1586,functional needs repair
1587,non functional
1588,functional needs repair
1589,non functional
1590,functional needs repair
1591,non functional
1592,functional
1593,non functional
1594,non functional
1595,non functional
1596,non functional
1597,functional needs repair
1598,functional
1599,functional needs repair
1600,non functional
1601,functional needs repair
1602,functional needs repair
1603,functional needs repair
1604,functional
1605,functional
1606,functional needs repair
1607,non functional
1608,functional
1609,functional needs repair
1610,non functional
1611,functional needs repair
1612,non functional
1613,functional needs repair
1614,functional
1615,non functional
1616,functional needs repair
1617,functional
1618,non functional
1619,functional needs repair
1620,functional
1621,functional needs repair
1622,non functional
1623,functional needs repair
1624,functional
1625,functional needs repair
1626,functional needs repair
1627,functional needs repair
1628,non functional
1629,non functional
1630,non functional
1631,functional needs repair
1632,non functional
1633,functional needs repair
1634,functional needs repair
1635,functional needs repair
1636,functional needs repair
1637,functional
1638,functional needs repair
1639,non functional
1640,non functional
1641,non functional
1642,functional needs repair
1643,functional needs repair
1644,functional needs repair
1645,non functional
1646,functional
1647,functional needs repair
1648,functional needs repair
1649,functional needs repair
1650,functional needs repair
1651,non functional
1652,functional needs repair
1653,functional
1654,functional needs repair
1655,functional
1656,functional
1657,functional needs repair
1658,non functional
1659,non functional
1660,functional needs repair
1661,non functional
1662,functional needs repair
1663,non functional
1664,non functional
1665,non functional
1666,functional
1667,functional needs repair
1668,non functional
1669,non functional
1670,functional
1671,functional
1672,non functional
1673,functional
1674,functional needs repair
1675,non functional
1676,non functional
1677,functional
1678,functional needs repair
1679,functional
1680,non functional
1681,functional
1682,non functional
1683,functional
1684,non functional
1685,functional needs repair
1686,functional needs repair
1687,functional
1688,non functional
1689,functional needs repair
1690,functional needs repair
1691,non functional
1692,non functional
1693,functional needs repair
1694,non functional
1695,functional needs repair
1696,functional needs repair
1697,functional needs repair
1698,functional needs repair
1699,functional needs repair
1700,non functional
1701,functional needs repair
1702,functional needs repair
1703,functional needs repair
1704,functional needs repair
1705,functional needs repair
1706,functional
1707,non functional
1708,functional needs repair
1709,functional needs repair
1710,non functional
1711,non functional
1712,functional needs repair
1713,non functional
1714,non functional
1715,functional needs repair
1716,functional needs repair
1717,non functional
1718,non functional
1719,functional needs repair
1720,non functional
1721,functional needs repair
1722,non functional
1723,non functional
1724,non functional
1725,functional
1726,non functional
1727,functional needs repair
1728,non functional
1729,functional needs repair
1730,non functional
1731,functional needs repair
1732,non functional
1733,functional needs repair
1734,functional needs repair
1735,functional needs repair
1736,non functional
1737,functional needs repair
1738,functional
1739,non functional
1740,functional
1741,functional needs repair
1742,functional
1743,functional needs repair
1744,functional needs repair
1745,functional needs repair
1746,non functional
1747,non functional
1748,functional needs repair
1749,functional needs repair
1750,non functional
1751,functional needs repair
1752,non functional
1753,functional
1754,functional
1755,functional
1756,functional needs repair
1757,non functional
1758,non functional
1759,functional
1760,functional
1761,functional needs repair
1762,functional
1763,functional
1764,non functional
1765,functional needs repair
1766,functional needs repair
1767,functional
1768,functional
1769,functional needs repair
1770,functional needs repair
1771,functional
1772,functional
1773,non functional
1774,non functional
1775,functional needs repair
1776,non functional
1777,functional needs repair
1778,non functional
1779,non functional
1780,non functional
1781,non functional
1782,non functional
1783,non functional
1784,non functional
1785,non functional
1786,non functional
1787,functional needs repair
1788,non functional
1789,functional needs repair
1790,functional
1791,functional
1792,non functional
1793,functional needs repair
1794,functional needs repair
1795,functional
1796,non functional
1797,functional
1798,non functional
1799,functional
1800,non functional
1801,functional needs repair
1802,functional
1803,functional needs repair
1804,functional
1805,non functional
1806,functional needs repair
1807,functional needs repair
1808,functional needs repair
1809,functional needs repair
1810,functional needs repair
1811,functional needs repair
1812,functional
1813,functional needs repair
1814,functional needs repair
1815,non functional
1816,functional
1817,non functional
1818,functional needs repair
1819,functional needs repair
1820,non functional
1821,functional
1822,functional needs repair
1823,functional needs repair
1824,functional
1825,functional needs repair
1826,non functional
1827,functional
1828,non functional
1829,functional needs repair
1830,functional
1831,non functional
1832,functional needs repair
1833,non functional
1834,functional
1835,functional needs repair
1836,non functional
1837,non functional
1838,functional
1839,functional needs repair
1840,functional needs repair
1841,non functional
1842,non functional
1843,functional needs repair
1844,functional
1845,functional needs repair
1846,non functional
1847,functional needs repair
1848,functional needs repair
1849,functional needs repair
1850,non functional
1851,functional needs repair
1852,functional needs repair
1853,functional needs repair
1854,functional needs repair
1855,functional needs repair
1856,functional needs repair
1857,functional
1858,non functional
1859,non functional
1860,functional needs repair
1861,functional needs repair
1862,non functional
1863,non functional
1864,functional
1865,non functional
1866,functional needs repair
1867,functional needs repair
1868,functional needs repair
1869,non functional
1870,non functional
1871,non functional
1872,functional needs repair
1873,functional
1874,non functional
1875,functional
1876,non functional
1877,non functional
1878,non functional
