id,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,recorded_by,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group
61,197.4,2013-07-01,Government,935,DWE,36.73652463314397,-5.293434043283387,Kwa Mama,6,Lake Nyasa,D,Arusha,11,3,Ilala,Kilimanjaro Central,173,True,GeoData Consultants Ltd,vwc,unknown,True,0,gravity,submersible,motorpump,water board,unknown,other,monthly,soft,bad,enough,insufficient,rainwater harvesting,shallow well,surface,communal standpipe,dam
62,155.1,2013-12-23,Germany,1249,DWE,29.822459678130524,-8.819887244778775,Kwa Mama,9,Lake Nyasa,B,Morogoro,11,1,Moshi,Kijitonyama,425,False,GeoData Consultants Ltd,vwc,Scheme A,False,0,rope pump,handpump,handpump,water board,unknown,other,monthly,milky,bad,enough,seasonal,borehole,spring,unknown,communal standpipe,improved spring
63,1782.5,2013-11-24,unknown,0,DWE,31.94595672767281,-6.754964005530091,Kwa Mama,2,Lake Tanganyika,C,Dodoma,21,4,Moshi,Sinza,74,True,GeoData Consultants Ltd,private operator,Scheme B,False,0,rope pump,handpump,gravity,user-group,unknown,pay per bucket,monthly,salty,good,insufficient,enough,shallow well,borehole,groundwater,communal standpipe,dam
64,824.1,2011-06-12,Private,1918,CES,29.79588850442477,-2.1406415414449604,unknown,8,Ruvuma,B,Dar es Salaam,14,1,Ilala,Kijitonyama,305,False,GeoData Consultants Ltd,water board,unknown,False,0,motorpump,handpump,submersible,user-group,user-group,monthly,monthly,soft,unknown,enough,dry,shallow well,shallow well,unknown,improved spring,communal standpipe
65,140.8,2012-04-04,Private,1103,WE,32.601377947828,-11.099071110157267,Kwa Hassan,1,Ruvuma,A,Dar es Salaam,28,1,Moshi,Kilimanjaro Central,289,False,GeoData Consultants Ltd,vwc,Scheme B,False,1980,submersible,gravity,motorpump,vwc,unknown,monthly,pay per bucket,fluoride,unknown,seasonal,seasonal,borehole,shallow well,groundwater,improved spring,communal standpipe
66,250.0,2011-07-11,World Bank,0,DWE,38.11249832999014,-10.138884186087527,Kwa Hassan,2,Pangani,C,Mwanza,26,1,Temeke,Machame Uroki,373,False,GeoData Consultants Ltd,vwc,Scheme B,True,1990,rope pump,handpump,gravity,water board,unknown,monthly,other,unknown,bad,seasonal,dry,shallow well,shallow well,groundwater,hand pump,communal standpipe
67,276.2,2012-04-26,Germany,438,CES,29.168825260578327,-5.392180143208451,unknown,1,Ruvuma,B,Dodoma,1,6,Arusha DC,Sinza,268,False,GeoData Consultants Ltd,vwc,Scheme B,True,1990,submersible,gravity,submersible,vwc,commercial,monthly,pay per bucket,milky,good,dry,insufficient,shallow well,borehole,unknown,communal standpipe,communal standpipe
68,148.4,2013-01-02,World Bank,0,WE,30.77446127513024,-10.205452280246636,Kwa Mama,2,Lake Nyasa,A,Arusha,17,9,Ilala,Kijitonyama,422,False,GeoData Consultants Ltd,water board,unknown,True,1990,motorpump,rope pump,gravity,water board,commercial,never pay,pay per bucket,fluoride,good,insufficient,insufficient,shallow well,shallow well,groundwater,communal standpipe,communal standpipe
69,155.7,2013-10-17,unknown,423,unknown,38.145816222489,-5.873709580064219,Kwa Mama,2,Lake Nyasa,A,Dar es Salaam,11,9,Hai,Machame Uroki,313,True,GeoData Consultants Ltd,vwc,Scheme B,True,1990,submersible,submersible,submersible,vwc,unknown,other,never pay,salty,unknown,dry,dry,shallow well,borehole,surface,dam,communal standpipe
70,32.0,2012-10-11,Germany,1322,DWE,36.44941907396455,-2.3180858714262325,Kwa Mzee,4,Ruvuma,B,Dar es Salaam,24,1,Arusha DC,Machame Uroki,82,True,GeoData Consultants Ltd,water board,Scheme B,True,2000,submersible,motorpump,handpump,water board,user-group,monthly,monthly,salty,good,insufficient,insufficient,rainwater harvesting,spring,unknown,communal standpipe,dam
71,112.6,2012-02-23,Germany,218,CES,37.86180202202393,-2.827773675347629,Kwa Hassan,9,Lake Victoria,D,Arusha,28,6,Arusha DC,Sinza,451,False,GeoData Consultants Ltd,private operator,unknown,False,2010,submersible,gravity,gravity,water board,commercial,monthly,monthly,fluoride,good,enough,insufficient,spring,borehole,surface,improved spring,communal standpipe
72,679.4,2013-04-08,World Bank,869,unknown,32.29692276425538,-3.150267804386216,Kwa Mzee,4,Pangani,D,Kilimanjaro,20,4,Hai,Kilimanjaro Central,48,False,GeoData Consultants Ltd,vwc,Scheme A,False,2000,submersible,rope pump,rope pump,vwc,user-group,monthly,monthly,fluoride,unknown,seasonal,enough,borehole,shallow well,groundwater,communal standpipe,improved spring
73,241.0,2013-06-27,Government,923,DWE,30.4311272470265,-8.741356750242817,Kwa Mama,9,Pangani,C,Dar es Salaam,5,8,Hai,Kijitonyama,256,False,GeoData Consultants Ltd,water board,unknown,True,1980,gravity,submersible,gravity,private operator,unknown,monthly,never pay,soft,good,insufficient,dry,shallow well,borehole,surface,improved spring,communal standpipe
74,147.3,2011-08-09,Germany,1330,CES,39.56682112205774,-2.87703942439688,Kwa Mama,8,Wami/Ruvu,B,Mwanza,5,5,Arusha DC,Kilimanjaro Central,126,True,GeoData Consultants Ltd,user-group,Scheme A,False,2000,handpump,motorpump,rope pump,water board,unknown,monthly,monthly,milky,unknown,enough,seasonal,rainwater harvesting,rainwater harvesting,unknown,communal standpipe,dam
