Operator,Part,Trial,Measured Value
A,N/A,5,99.90615884224164
B,N/A,3,100.95408165444624
A,N/A,1,100.15364378212051
B,N/A,1,97.43401555162286
D,N/A,5,101.99253363889429
D,N/A,5,99.01248683367737
C,N/A,2,96.8868362026805
D,N/A,3,99.14376967806818
C,N/A,3,103.00151958126862
D,N/A,4,101.70044348422698
A,N/A,2,99.30269573118429
D,N/A,2,99.30148459136315
C,N/A,2,99.35672989756523
C,N/A,2,104.15349596712169
B,N/A,3,100.7638709044631
A,N/A,3,100.86008329438214
D,N/A,2,102.06056690806369
B,N/A,4,100.47757831805303
D,N/A,1,99.4819157083586
D,N/A,1,99.60730030183004
B,N/A,4,99.85679748117187
B,N/A,2,99.92555552698032
B,N/A,3,101.45525908727396
B,N/A,1,100.1038917716146
B,N/A,5,101.46528015443116
D,N/A,5,99.83856683978283
B,N/A,4,100.15727038063218
A,N/A,2,96.00359863093578
C,N/A,1,101.83265534940496
B,N/A,2,100.69297695179598
B,N/A,1,101.9960202197193
D,N/A,4,94.20748924361263
B,N/A,4,104.17674940956145
B,N/A,5,99.72082074368966
B,N/A,2,102.21636563347504
D,N/A,5,97.92018814574894
B,N/A,2,101.22554781012514
C,N/A,5,97.89316887365268
D,N/A,3,98.75246207860839
C,N/A,3,103.82806270773358
D,N/A,3,99.61863519847331
B,N/A,3,100.43486574635945
C,N/A,1,101.7401354613775
D,N/A,3,100.9913637759452
A,N/A,4,100.30083781028715
B,N/A,4,100.72992200493245
D,N/A,1,104.80683117047656
A,N/A,3,99.88476240593283
D,N/A,3,100.40219809342993
A,N/A,3,102.10130879201522
B,N/A,5,102.21105186591596
C,N/A,2,102.37406061112075
A,N/A,5,101.27746044405836
D,N/A,2,97.71399017453903
B,N/A,3,103.26686306460219
A,N/A,3,97.70730921396262
D,N/A,5,100.60527093047807
D,N/A,5,98.49144829996128
D,N/A,2,99.87172330681402
A,N/A,4,100.65752482060697
A,N/A,2,100.64271443090054
A,N/A,5,100.84384150847058
C,N/A,5,103.2274225381173
A,N/A,1,100.90706860302797
A,N/A,5,99.5116867294187
A,N/A,1,101.92817433657672
C,N/A,4,102.37894097784928
A,N/A,2,97.54478436972602
D,N/A,2,101.19480013969972
A,N/A,1,101.40234548462179
D,N/A,2,99.40487299328002
D,N/A,5,102.75141362662323
D,N/A,3,99.69988882593495
C,N/A,1,100.25115290694309
C,N/A,2,99.65385635143227
C,N/A,1,100.03115809516294
A,N/A,1,97.80744982620959
D,N/A,3,97.11989823481142
C,N/A,5,103.18901012644994
C,N/A,1,98.30607730336334
A,N/A,2,98.01721530108739
C,N/A,4,95.69321977279257
A,N/A,1,98.722076504621
B,N/A,1,97.353820413185
C,N/A,3,103.28403032027273
B,N/A,5,102.01963417868527
A,N/A,4,98.62369930964455
D,N/A,2,104.50487161068861
C,N/A,4,101.96353097398318
A,N/A,2,99.35033723298275
D,N/A,5,95.00118857025285
D,N/A,2,104.58188514518149
B,N/A,3,97.22085506647281
A,N/A,3,96.70920250608621
D,N/A,3,102.04514086401927
C,N/A,3,104.87950481267855
C,N/A,4,102.76854563702103
B,N/A,5,101.12781824010472
D,N/A,2,101.18950868333057
A,N/A,2,101.70683111756061
C,N/A,3,101.51785717957353
D,N/A,3,100.56238284793875
D,N/A,1,100.20840220790375
B,N/A,5,99.87481374420095
C,N/A,4,98.49207082226664
C,N/A,2,99.43864984626646
A,N/A,1,96.61408637160923
C,N/A,1,99.8033207464105
A,N/A,2,98.02281778569817
C,N/A,4,97.79282136556846
B,N/A,1,100.35978830230695
C,N/A,1,102.7840045726892
A,N/A,5,101.83663321200463
A,N/A,4,96.85899879275365
B,N/A,1,98.02074372685932
C,N/A,4,101.88154237597644
C,N/A,2,98.03502521292339
B,N/A,3,99.55073370000595
C,N/A,1,101.10010419804911
C,N/A,5,98.06331109027273
A,N/A,2,100.21075101229192
C,N/A,4,97.3319490101636
C,N/A,2,98.79726471209757
B,N/A,1,100.63956386828508
B,N/A,4,96.81401253293666
D,N/A,3,100.8809494759208
A,N/A,2,99.96072440214664
C,N/A,1,101.1049799088343
C,N/A,5,100.44782826812933
D,N/A,4,102.72828085994769
C,N/A,2,100.25044900529582
A,N/A,2,99.14118891774949
D,N/A,3,100.24459500606457
A,N/A,3,101.08659605807277
D,N/A,5,100.0977201406514
D,N/A,5,100.08118338240776
B,N/A,1,98.5960166243865
A,N/A,1,98.6741981648981
C,N/A,5,97.19478945640061
C,N/A,5,103.49915348637388
A,N/A,4,97.51227352921742
C,N/A,3,98.61418960440818
C,N/A,1,98.5631854688616
A,N/A,3,101.78984875388888
D,N/A,3,99.41010064341594
A,N/A,5,102.49548414534746
D,N/A,4,98.65301875151226
C,N/A,2,100.5579883244476
C,N/A,4,98.32930589348048
C,N/A,4,104.29029825554677
B,N/A,3,97.62480316194097
D,N/A,4,100.61964142045406
B,N/A,1,101.26755376186419
B,N/A,3,100.82759819490299
A,N/A,1,99.62942468224459
B,N/A,2,99.74035860053314
A,N/A,3,100.08762294395822
A,N/A,2,99.70599599674303
B,N/A,3,101.92775823358981
D,N/A,5,104.42104600318271
D,N/A,4,98.88501642998433
D,N/A,5,97.26039404084185
D,N/A,2,99.8234359032975
D,N/A,4,105.15941867530864
B,N/A,3,98.39265086406054
B,N/A,4,103.27823361088814
C,N/A,1,103.35540162815288
D,N/A,4,98.89282351658402
B,N/A,1,101.13796615837055
C,N/A,4,103.25679324625708
D,N/A,1,99.24174451802503
A,N/A,2,99.59283927979527
C,N/A,5,98.83663817210271
B,N/A,3,97.97048653861427
A,N/A,4,98.70144490986799
A,N/A,5,97.55211946647549
A,N/A,3,100.06816693651845
C,N/A,3,98.46005353788271
B,N/A,1,100.4675718235815
A,N/A,2,96.88820870759274
D,N/A,2,100.66176046442891
A,N/A,5,101.66705792321785
A,N/A,2,96.01252871485708
C,N/A,4,100.74811313969515
C,N/A,2,102.45533798494658
B,N/A,5,97.58071796261758
D,N/A,2,103.3451447736754
C,N/A,4,100.83803801873209
A,N/A,1,98.58997628848319
B,N/A,5,99.88846184468458
A,N/A,1,101.11665382504344
A,N/A,1,100.15201078282482
C,N/A,1,101.07751198489274
B,N/A,3,98.15865281384127
D,N/A,3,100.33872164807215
D,N/A,1,97.17257100619004
C,N/A,5,99.7775478773026
C,N/A,4,98.19218471707042
B,N/A,4,98.52894011482047
D,N/A,2,102.47218635042087
D,N/A,5,102.18262024118854
D,N/A,3,101.21827624181435
A,N/A,1,97.81537447065485
D,N/A,2,99.36718310061039
A,N/A,4,102.42619539995837
B,N/A,3,100.28343382727981
A,N/A,3,104.63865907996339
B,N/A,1,100.78663567878874
D,N/A,4,100.38409823298007
D,N/A,5,99.381767071595
B,N/A,3,100.26708180956456
C,N/A,1,99.6950603272389
B,N/A,5,101.41621735337718
C,N/A,4,101.91340463358917
A,N/A,3,98.4280210789841
A,N/A,5,97.33753409288444
A,N/A,5,96.3275892537934
D,N/A,5,101.01598265382509
A,N/A,3,97.79326678765226
C,N/A,3,95.69421881409504
A,N/A,2,100.77715720906193
B,N/A,4,104.98599903486559
B,N/A,1,99.98785817692021
D,N/A,5,101.67698154890329
B,N/A,2,100.16365871709513
C,N/A,1,99.80222069361771
A,N/A,2,101.83815296597554
D,N/A,3,99.4194509116227
A,N/A,5,100.53478462814381
A,N/A,1,100.64339561239203
C,N/A,1,98.66381909271391
B,N/A,1,101.98408469907305
B,N/A,1,99.65008048660918
A,N/A,1,98.4885096810143
D,N/A,2,101.07301968714081
B,N/A,5,98.20306403641793
D,N/A,3,100.05636231473825
B,N/A,3,99.98176200671159
D,N/A,3,102.17179113166316
C,N/A,3,100.9493964657599
D,N/A,2,99.94994608250971
C,N/A,4,101.63553259840057
C,N/A,5,102.78041509803462
D,N/A,1,101.11562061270372
C,N/A,4,100.02070523968676
A,N/A,3,97.37632753529968
C,N/A,4,97.86977267384925
B,N/A,5,99.38955059129067
D,N/A,1,98.78097559568144
A,N/A,1,99.6260573940291
D,N/A,5,100.11329984979422
B,N/A,5,101.05938550871346
B,N/A,3,99.85900244388182
B,N/A,1,100.9730032876524
C,N/A,4,100.12894882962024
C,N/A,2,96.04906686729225
D,N/A,2,98.1213292123625
D,N/A,5,99.71182488855676
A,N/A,3,97.58061051431778
A,N/A,2,101.19985745999242
D,N/A,1,103.0615016646874
C,N/A,5,102.43752370339463
B,N/A,4,99.57311425813958
D,N/A,5,102.9814522736999
A,N/A,4,100.29733491440422
C,N/A,5,99.32582805776393
D,N/A,5,98.77319467291812
D,N/A,5,99.39506062702374
C,N/A,4,99.22364636291755
D,N/A,4,100.34083244475097
C,N/A,5,100.32114796209973
B,N/A,2,100.00609204030683
C,N/A,3,100.8738763394927
C,N/A,3,102.38129254957268
C,N/A,3,101.89910827088265
D,N/A,4,97.0302040631002
D,N/A,4,94.89215773019609
C,N/A,2,101.86863982247854
D,N/A,3,97.26624260316916
A,N/A,3,99.55046919621464
A,N/A,5,97.65977394788128
D,N/A,4,96.39603912483996
D,N/A,3,101.08292545640957
C,N/A,2,101.5183103206053
B,N/A,2,98.84697919854656
D,N/A,3,94.81791541571017
A,N/A,4,98.90751110349504
C,N/A,2,100.7836080108051
D,N/A,5,97.04217686245174
A,N/A,2,100.36671983955831
A,N/A,1,99.96938030165401
B,N/A,1,101.15858299920218
C,N/A,4,100.23916073682831
C,N/A,3,98.05386211823689
B,N/A,4,102.39314300332899
B,N/A,4,99.68294085394606
C,N/A,4,99.94539092098013
C,N/A,4,98.1334640818536
D,N/A,5,99.11343549761698
D,N/A,5,98.23039457194619
B,N/A,2,99.65410788015315
D,N/A,1,103.42341696028468
A,N/A,4,97.25619771413729
D,N/A,2,96.77287720424651
D,N/A,1,102.94234065498722
A,N/A,3,99.58135264569627
B,N/A,5,98.66185452268017
A,N/A,1,102.07980937479215
D,N/A,3,98.78876892052627
B,N/A,1,103.65201942709388
D,N/A,5,101.35585174267854
A,N/A,5,99.02417718370859
A,N/A,2,104.314616426531
D,N/A,4,98.78857015399332
C,N/A,1,101.48419074401862
C,N/A,1,100.59858516081299
A,N/A,3,102.6034825787976
A,N/A,5,103.12302239345371
C,N/A,1,100.06400829813154
C,N/A,5,98.49316425930763
D,N/A,1,100.91994428587823
D,N/A,2,98.64456926049579
C,N/A,4,104.02677449505325
D,N/A,1,100.27307066216548
D,N/A,5,99.26935689737579
B,N/A,2,100.36936061172982
D,N/A,1,97.3057474209406
A,N/A,3,98.0567719229787
D,N/A,4,102.40082781588885
D,N/A,1,98.68621144205721
C,N/A,2,97.90617803463613
A,N/A,3,101.07330550505458
D,N/A,2,102.371408309326
D,N/A,2,101.43790662133013
B,N/A,3,101.99209537161163
D,N/A,2,98.48640982286108
D,N/A,3,97.15637866651632
B,N/A,1,103.00266730391097
C,N/A,3,99.35464032231573
D,N/A,3,99.4983339670899
B,N/A,4,102.65638828369812
A,N/A,3,101.11246001880131
C,N/A,3,100.91177554416322
A,N/A,1,104.33000468980217
A,N/A,4,98.71296353923971
B,N/A,5,101.85568025616247
D,N/A,1,100.11402624979416
B,N/A,1,100.53718455772652
B,N/A,5,103.05693685282506
B,N/A,3,101.01567151257925
B,N/A,2,101.07659215809926
C,N/A,4,102.1450146746196
D,N/A,2,99.27009454091423
A,N/A,5,98.32158066532199
A,N/A,1,97.91038161195793
D,N/A,1,96.06728682124799
A,N/A,4,104.11241425988064
D,N/A,1,97.79358326855663
A,N/A,1,99.55749275282845
B,N/A,4,99.44637340022216
A,N/A,4,100.6148133956182
D,N/A,5,101.6314744250786
D,N/A,1,101.72094697671949
D,N/A,1,98.83384512286213
D,N/A,5,99.66575657242717
D,N/A,3,100.5651599009766
C,N/A,3,99.50261774763291
C,N/A,3,103.21469115203999
A,N/A,5,100.9819499032765
D,N/A,1,101.46975557209963
A,N/A,5,101.32576253733482
D,N/A,5,102.34694771497065
D,N/A,3,100.36204311740741
C,N/A,2,97.40633610408831
C,N/A,1,100.79937590350528
B,N/A,3,98.69728621241634
C,N/A,2,98.94276663650048
B,N/A,2,101.17272803751018
B,N/A,4,102.47656614286727
B,N/A,1,100.04254315347212
B,N/A,2,100.61766602519793
B,N/A,3,103.40442988927047
A,N/A,4,100.48150635897714
C,N/A,1,105.20336622836079
B,N/A,5,101.13101929126309
D,N/A,3,96.47847448168837
C,N/A,2,101.50668324220906
C,N/A,2,100.76231676976556
B,N/A,3,102.5795055081655
A,N/A,2,101.34636270253992
B,N/A,4,99.72308803203245
A,N/A,1,97.55140352742127
D,N/A,4,99.58195348542795
C,N/A,2,98.2989590915814
D,N/A,5,98.83895310039055
A,N/A,1,101.17715680884122
A,N/A,1,103.33980900870282
D,N/A,3,100.78934305964596
A,N/A,3,97.60823387592963
D,N/A,5,100.88920533644028
C,N/A,1,102.3932629732913
D,N/A,5,98.78043419136124
C,N/A,3,99.73196566665416
D,N/A,3,100.02937638945839
A,N/A,1,98.43020337383552
D,N/A,4,101.29656086768772
A,N/A,2,99.75810370278444
D,N/A,3,100.83906488781406
D,N/A,3,98.2250156443958
B,N/A,4,99.12508339935317
A,N/A,4,101.44476271565554
B,N/A,5,99.25433369581647
A,N/A,5,103.45392770246681
B,N/A,2,99.20072762877079
C,N/A,2,100.44936945150377
D,N/A,1,101.86518166374618
A,N/A,5,97.16326853413393
A,N/A,3,96.47838237603845
D,N/A,5,96.94868737085982
A,N/A,3,102.52516820685436
A,N/A,4,98.89628370821511
B,N/A,5,105.1163985713365
A,N/A,4,98.87150480268522
C,N/A,2,100.36910260639408
C,N/A,2,103.08421990513575
D,N/A,1,104.01218577631825
A,N/A,5,104.1230071532728
D,N/A,4,102.41673246118629
C,N/A,3,102.04812505162292
A,N/A,2,101.18505389840237
A,N/A,2,101.55672215233328
D,N/A,3,98.89762856734293
C,N/A,4,98.36360223315539
A,N/A,4,99.9932510851781
D,N/A,5,99.65963075495014
C,N/A,5,99.09354390134546
D,N/A,1,101.39277489491343
B,N/A,2,101.91061041714102
A,N/A,5,100.1768137725837
B,N/A,4,102.95506016211053
C,N/A,3,97.71662177173299
B,N/A,4,99.61268108144057
B,N/A,2,98.5663553587944
C,N/A,4,96.26692676585388
D,N/A,1,99.83463862831461
B,N/A,2,99.75650498323343
D,N/A,3,103.02689948648427
B,N/A,1,101.26162336910956
D,N/A,2,97.95162635134159
C,N/A,3,103.70818513266838
B,N/A,1,102.4420673910507
C,N/A,1,101.16419540693722
B,N/A,2,99.54703180230034
C,N/A,5,98.08112152655303
C,N/A,1,99.2555864478579
B,N/A,1,102.17749723940837
B,N/A,3,103.76917261186922
B,N/A,4,103.08648705654437
A,N/A,2,99.02230115642745
D,N/A,2,97.76076513342198
A,N/A,5,100.2817724938224
A,N/A,5,96.4631212688743
C,N/A,2,100.64633542836957
B,N/A,5,99.70479482740267
D,N/A,3,99.06792699626351
C,N/A,2,96.81059386546642
A,N/A,5,101.02720021313944
B,N/A,2,98.93459832067617
C,N/A,4,97.66016632857942
B,N/A,1,94.2554755734367
C,N/A,2,99.94497018989873
B,N/A,1,103.5445031933395
A,N/A,5,103.32251842909574
D,N/A,1,99.08580748682746
A,N/A,2,98.79557587927644
D,N/A,4,100.93754851215004
B,N/A,5,98.00322912162342
C,N/A,2,100.60358379963893
A,N/A,5,101.53216055676938
D,N/A,3,102.45386644776862
A,N/A,1,99.7996918470401
D,N/A,3,99.59265249964606
A,N/A,2,98.24403482648688
D,N/A,4,98.34623929192028
D,N/A,5,99.54704221619694
B,N/A,1,100.73473101363236
D,N/A,5,101.8271692524665
B,N/A,2,98.3936420986393
D,N/A,5,102.98537713791904
C,N/A,1,99.45775279791486
C,N/A,2,99.95726541130313
C,N/A,5,98.50557664170435
D,N/A,4,95.15151947945412
B,N/A,2,101.7680907927221
B,N/A,2,101.47368779418487
D,N/A,4,99.43734488576358
C,N/A,3,100.13398143444974
C,N/A,1,101.0318784354082
B,N/A,3,96.87490828622691
C,N/A,5,98.94189464530741
A,N/A,4,101.58852935924365
B,N/A,3,97.4914211536615
C,N/A,2,100.58711586433326
B,N/A,5,97.2868363907532
A,N/A,5,100.93285996486705
B,N/A,3,99.92871703540503
B,N/A,3,96.76973636818899
B,N/A,4,102.32947870891434
B,N/A,1,98.53081684640391
A,N/A,3,98.37949512597123
D,N/A,3,100.40113839446188
B,N/A,2,102.29727469885744
B,N/A,5,97.96835636204321
C,N/A,1,100.12335969969594
B,N/A,2,100.85763300066115
C,N/A,4,101.38621121452628
D,N/A,4,100.35288311055444
A,N/A,3,99.26594432183336
A,N/A,3,98.34481955870255
D,N/A,4,100.17228776609275
A,N/A,3,97.85572197602879
D,N/A,1,94.15729903301079
D,N/A,3,100.87311960831533
D,N/A,5,101.8078696821724
A,N/A,3,95.27413512891633
C,N/A,2,97.98053859058012
D,N/A,1,101.2383085220104
B,N/A,2,104.1149909394234
A,N/A,2,100.04158741535082
D,N/A,5,98.54399411754173
D,N/A,1,99.63420711779033
B,N/A,1,102.74975283829637
C,N/A,1,98.70807164175093
C,N/A,1,98.4016159866995
C,N/A,1,99.03451295563593
D,N/A,5,98.09334278348257
D,N/A,3,100.24534063198959
D,N/A,2,103.24935691693912
A,N/A,1,100.64615854623206
B,N/A,3,99.49529299574742
D,N/A,3,99.41637746216891
B,N/A,2,96.87361838260668
B,N/A,5,101.76621955429432
C,N/A,4,99.84432560597439
A,N/A,4,99.63904017281875
D,N/A,3,106.38621513568972
C,N/A,2,100.59750581673137
C,N/A,4,98.49641789980963
D,N/A,3,99.14728480758892
B,N/A,5,102.29689141839351
C,N/A,4,100.22654082107553
B,N/A,3,97.12344404336527
A,N/A,3,101.8384578691504
B,N/A,1,98.66371182892202
A,N/A,5,103.7465955524351
B,N/A,1,102.1600961314293
C,N/A,2,99.1053562086825
C,N/A,1,102.56203272347022
A,N/A,1,100.1357110210548
D,N/A,4,101.70554735024444
A,N/A,3,100.96946563458894
A,N/A,5,98.30728669001826
B,N/A,1,98.71290033536508
B,N/A,5,102.05992163516233
A,N/A,1,99.33044933578692
C,N/A,2,99.192703073516
B,N/A,1,98.0897548413013
D,N/A,4,100.84719813118693
B,N/A,3,104.12504983848629
B,N/A,2,97.86493417149146
D,N/A,1,100.04843891334552
A,N/A,5,102.82444111083086
D,N/A,2,99.84071721750857
A,N/A,2,100.90474359249947
A,N/A,1,97.87521294370625
A,N/A,2,100.8566141944153
D,N/A,5,99.6257114699909
A,N/A,2,101.97145999135972
C,N/A,5,102.3747721031295
D,N/A,1,105.17912728403722
C,N/A,3,101.15926634642715
A,N/A,2,100.65159263316433
B,N/A,3,100.38876860315467
A,N/A,5,99.29366741437862
C,N/A,2,100.67696768692338
C,N/A,4,99.40919717972194
D,N/A,3,100.33692195253923
B,N/A,2,102.63519507121592
D,N/A,3,97.98691486944072
C,N/A,2,102.27975712225809
A,N/A,1,102.63423013467973
B,N/A,3,99.76386294601784
A,N/A,4,95.75629020198281
A,N/A,4,98.78435602581114
B,N/A,5,102.59398909312222
D,N/A,2,99.95426387540223
A,N/A,3,98.00139553541018
C,N/A,5,98.99045015754356
A,N/A,3,101.6812400530091
B,N/A,2,101.09346713640277
B,N/A,4,99.52213580166061
B,N/A,1,99.26635117637062
D,N/A,4,99.21648370191235
A,N/A,5,98.155179631003
D,N/A,1,103.23075137893889
D,N/A,5,99.35535906157732
B,N/A,2,102.434317041651
B,N/A,1,103.04263210384491
D,N/A,5,101.99662179629593
A,N/A,2,99.13675937456391
C,N/A,4,100.80746018067322
D,N/A,2,99.95160878721816
A,N/A,3,98.19259627853974
B,N/A,2,100.64871856344321
B,N/A,2,97.6419204176804
A,N/A,3,102.37535877692312
C,N/A,5,99.07076540540321
B,N/A,5,100.40231931174569
B,N/A,2,100.56657574309229
B,N/A,3,99.48219005259185
A,N/A,3,101.17338760295056
D,N/A,4,99.05019268675495
B,N/A,5,101.7425945949145
D,N/A,1,97.3080406395065
C,N/A,5,100.25275915909282
B,N/A,5,103.87785799811657
B,N/A,4,97.99933735078885
C,N/A,1,98.6445100589503
B,N/A,4,101.02781569931783
D,N/A,1,100.35916356387919
A,N/A,2,100.70126019854712
D,N/A,1,100.97837426029533
A,N/A,4,101.26944293712354
A,N/A,5,102.21939968391244
D,N/A,1,100.81963731385703
D,N/A,1,99.51748469076291
D,N/A,3,101.34514740240546
D,N/A,5,103.79976386979043
C,N/A,2,99.73473250723485
B,N/A,4,98.05094139065872
A,N/A,2,102.21416133857394
D,N/A,5,99.75923767209281
D,N/A,1,95.65466090797193
D,N/A,1,101.69484335430084
C,N/A,5,98.92934362809216
D,N/A,1,99.81893343539168
D,N/A,1,100.66396066113803
D,N/A,1,100.38099935955813
B,N/A,4,101.41890363427808
C,N/A,4,99.12902725886032
D,N/A,3,101.02621159635217
A,N/A,2,99.48090664483216
A,N/A,5,101.477620961775
A,N/A,5,101.23073496802611
C,N/A,5,98.12912259591081
C,N/A,3,102.17196423235006
A,N/A,4,98.9280731097719
D,N/A,3,101.6161155965623
C,N/A,5,100.73457462680268
A,N/A,2,103.67636735359025
A,N/A,1,99.5530680352563
D,N/A,4,99.30136640776361
B,N/A,4,99.96116078822453
C,N/A,3,99.39364043433145
D,N/A,4,101.5998838038841
A,N/A,5,96.76737878312683
A,N/A,5,97.89263516170729
D,N/A,3,97.86439415684161
C,N/A,5,101.90061518394715
B,N/A,2,103.42122674516385
B,N/A,3,99.79110156292505
A,N/A,2,99.66235655361997
C,N/A,1,100.14010432622636
B,N/A,2,102.32375660521637
C,N/A,1,98.14529373161885
C,N/A,1,100.47673796546957
A,N/A,2,101.95039525956486
B,N/A,3,101.0021883398797
D,N/A,5,100.37916323319749
A,N/A,5,102.00209218513429
B,N/A,1,94.59353541400152
B,N/A,1,101.35575063906181
B,N/A,3,98.69184863374515
B,N/A,4,96.33873420628709
B,N/A,2,101.02240519904996
C,N/A,1,102.74731709032592
A,N/A,5,99.72510297074462
C,N/A,3,101.90574909440588
D,N/A,2,103.2245565159773
B,N/A,3,102.62982890716809
A,N/A,2,103.27992905874278
B,N/A,2,101.48425498214378
A,N/A,1,100.15086727780319
C,N/A,3,96.79606837620567
A,N/A,3,99.5078750237401
D,N/A,5,98.31350680936761
D,N/A,5,104.34188543499563
A,N/A,1,99.64822837513533
A,N/A,1,100.24640961356897
A,N/A,4,101.10297075208094
A,N/A,5,100.08720489274491
D,N/A,2,103.39010208086151
B,N/A,3,98.7547012765311
A,N/A,1,100.38921491047448
A,N/A,3,98.5150588286039
D,N/A,3,97.35995497755859
D,N/A,4,98.77646181818943
C,N/A,5,99.92592640590317
A,N/A,1,99.14139555096548
C,N/A,3,98.61515804025228
D,N/A,1,97.18736507265633
D,N/A,2,99.83378885474261
B,N/A,4,96.990559251938
A,N/A,2,101.5201119273792
C,N/A,1,100.16487950586901
D,N/A,1,97.08489700107013
D,N/A,5,99.38158184590027
C,N/A,3,98.49568718881883
B,N/A,3,100.63834902083836
D,N/A,2,102.6809008920463
A,N/A,4,96.2496550607085
D,N/A,3,100.23005215829484
A,N/A,5,99.67973440886672
C,N/A,2,101.34268015290093
A,N/A,2,100.42639325647538
C,N/A,5,98.49606133652236
A,N/A,4,99.36189212866677
C,N/A,5,98.40794828639302
A,N/A,4,102.1520142771972
B,N/A,5,100.04262329734388
A,N/A,5,103.80238137150602
A,N/A,1,99.87867837237076
B,N/A,2,98.58318646617907
D,N/A,5,96.97257121477435
D,N/A,5,96.39372064748811
A,N/A,3,96.83172811398902
B,N/A,2,100.53425330202296
A,N/A,3,101.01745004645987
C,N/A,2,96.83761859593574
C,N/A,3,101.79007662815224
A,N/A,5,99.03387789663311
D,N/A,5,100.2935860239711
D,N/A,1,103.22444125651084
A,N/A,3,101.79367863173107
A,N/A,4,99.46293870418833
C,N/A,1,98.21761554916942
D,N/A,3,95.6963691973414
A,N/A,3,98.56169336151515
C,N/A,1,99.57773952234461
D,N/A,5,98.02564094569763
B,N/A,3,99.73748606581539
C,N/A,5,100.15370376591754
D,N/A,1,99.55028803638385
D,N/A,5,98.69999483835308
C,N/A,2,100.33730934393346
B,N/A,4,100.88388129913882
C,N/A,3,97.8192018451143
D,N/A,4,102.82186475949254
A,N/A,5,99.80282373543147
A,N/A,3,100.0376992458897
C,N/A,5,101.41642884651311
D,N/A,2,100.46643226252701
A,N/A,1,101.90627326782649
D,N/A,3,100.57424833040365
C,N/A,2,98.77512525071913
A,N/A,2,100.7230070504122
D,N/A,3,97.71254758535868
A,N/A,5,100.21711941155304
C,N/A,2,99.93354001871108
D,N/A,4,99.58376628545491
A,N/A,2,99.74292497712214
C,N/A,5,96.23630190900472
A,N/A,5,98.90255018451808
A,N/A,4,100.18568980228223
B,N/A,2,100.3197127839948
B,N/A,5,97.94464971814809
C,N/A,3,102.5314156817294
B,N/A,1,98.267650303571
C,N/A,1,101.93891440105347
B,N/A,1,100.85438872374337
A,N/A,2,98.7075453803124
C,N/A,4,103.55062178521902
C,N/A,5,97.61272633648704
A,N/A,3,101.83830834722
C,N/A,3,102.00116463608596
C,N/A,2,98.65875958184671
B,N/A,1,102.78493060012866
C,N/A,2,99.4999069708021
D,N/A,4,100.57738725855971
A,N/A,4,100.52064367754244
B,N/A,5,99.7313825170589
B,N/A,5,101.62161654631956
D,N/A,4,101.58697744110442
A,N/A,4,96.50293605352364
A,N/A,4,102.60868048575631
B,N/A,2,96.67501602392865
C,N/A,4,102.06509240868331
B,N/A,3,102.25341027365516
A,N/A,1,97.8180671395696
D,N/A,4,99.17837142409083
B,N/A,1,97.78859066302813
